172,155,158;1f004
19,43,87;1f1f3-1f1f7
167,141,67;1f1f3-1f1fa
38,41,90;1f1f3-1f1ff
99,159,205;1f1f3
123,70,51;1f1f4-1f1f2
98,158,205;1f1f4
119,98,117;1f1f5-1f1e6
159,64,73;1f1f5-1f1ea
153,78,85;1f1f5-1f1eb
87,29,23;1f1f5-1f1ec
99,62,86;1f1f5-1f1ed
56,89,56;1f1f5-1f1f0
163,91,106;1f1f5-1f1f1
80,112,107;1f1f5-1f1f2
42,48,87;1f1f5-1f1f3
131,68,98;1f1f5-1f1f7
76,64,56;1f1f5-1f1f8
103,60,24;1f1f5-1f1f9
81,131,118;1f1f5-1f1fc
108,84,105;1f1f5-1f1fe
90,154,202;1f1f5
127,77,92;1f1f6-1f1e6
103,161,206;1f1f6
95,71,107;1f1f7-1f1ea
109,64,44;1f1f7-1f1f4
116,89,97;1f1f7-1f1f8
106,76,99;1f1f7-1f1fa
56,116,90;1f1f7-1f1fc
96,157,204;1f1f7
20,88,54;1f1f8-1f1e6
36,75,78;1f1f8-1f1e7
109,86,71;1f1f8-1f1e8
80,62,56;1f1f8-1f1e9
55,97,82;1f1f8-1f1ea
169,106,111;1f1f8-1f1ec
47,49,90;1f1f8-1f1ed
101,81,101;1f1f8-1f1ee
137,54,63;1f1f8-1f1ef
123,84,102;1f1f8-1f1f0
60,125,115;1f1f8-1f1f1
119,146,154;1f1f8-1f1f2
110,93,38;1f1f8-1f1f3
53,102,158;1f1f8-1f1f4
105,81,68;1f1f8-1f1f7
57,61,60;1f1f8-1f1f8
75,106,24;1f1f8-1f1f9
69,94,136;1f1f8-1f1fb
99,54,78;1f1f8-1f1fd
111,72,75;1f1f8-1f1fe
93,58,68;1f1f8-1f1ff
90,154,203;1f1f8
51,53,94;1f1f9-1f1e6
51,50,85;1f1f9-1f1e8
107,60,34;1f1f9-1f1e9
43,50,112;1f1f9-1f1eb
99,87,37;1f1f9-1f1ec
113,66,82;1f1f9-1f1ed
107,81,55;1f1f9-1f1ef
45,57,69;1f1f9-1f1f0
132,40,25;1f1f9-1f1f1
53,116,71;1f1f9-1f1f2
166,18,30;1f1f9-1f1f3
142,26,26;1f1f9-1f1f4
162,20,29;1f1f9-1f1f7
120,28,38;1f1f9-1f1f9
90,101,109;1f1f9-1f1fb
145,7,28;1f1f9-1f1fc
35,92,64;1f1f9-1f1ff
80,148,200;1f1f9
90,108,66;1f1fa-1f1e6
117,61,12;1f1fa-1f1ec
124,85,98;1f1fa-1f1f2
70,114,159;1f1fa-1f1f3
124,85,98;1f1fa-1f1f8
82,98,133;1f1fa-1f1fe
73,121,102;1f1fa-1f1ff
94,156,204;1f1fa
123,113,54;1f1fb-1f1e6
79,120,63;1f1fb-1f1e8
103,61,45;1f1fb-1f1ea
54,55,86;1f1fb-1f1ec
155,151,137;1f1fb-1f1ee
157,38,19;1f1fb-1f1f3
74,60,30;1f1fb-1f1fa
87,152,202;1f1fb
157,51,66;1f1fc-1f1eb
111,19,45;1f1fc-1f1f8
111,166,209;1f1fc
42,62,112;1f1fd-1f1f0
91,154,203;1f1fd
108,61,67;1f1fe-1f1ea
157,151,153;1f1fe-1f1f9
84,150,201;1f1fe
68,72,72;1f1ff-1f1e6
48,83,2;1f1ff-1f1f2
124,98,32;1f1ff-1f1fc
89,153,202;1f1ff
83,149,200;1f201
58,117,162;1f202
243,164,59;1f21a
143,190,116;1f22f
225,85,103;1f232
69,125,167;1f233
223,75,93;1f234
225,87,104;1f235
243,161,52;1f236
243,158,46;1f237
243,159,48;1f238
225,86,103;1f239
243,163,56;1f23a
80,16,24;1f250
194,129,42;1f251
41,83,115;1f300
203,197,201;1f301
42,31,59;1f302
56,80,95;1f303
187,173,75;1f304
168,163,119;1f305
122,93,49;1f306
168,140,78;1f307
105,71,47;1f308
82,80,91;1f309
46,96,134;1f30a
85,73,63;1f30b
95,71,136;1f30c
94,141,138;1f30d
96,144,147;1f30e
93,141,136;1f30f
25,59,85;1f310
79,91,99;1f311
104,107,99;1f312
140,130,98;1f313
175,153,96;1f314
202,170,97;1f315
175,153,96;1f316
140,130,98;1f317
104,107,99;1f318
70,59,34;1f319
74,85,93;1f31a
80,68,39;1f31b
80,68,39;1f31c
184,156,92;1f31d
159,112,30;1f31e
122,86,31;1f31f
117,135,127;1f320
65,48,52;1f321
131,109,75;1f324
112,106,95;1f325
118,117,110;1f326
101,111,118;1f327
101,111,119;1f328
111,106,98;1f329
70,78,83;1f32a
218,225,230;1f32b
75,81,86;1f32c
116,71,57;1f32d
131,94,39;1f32e
114,101,75;1f32f
130,67,47;1f330
28,42,20;1f331
36,55,19;1f332
53,81,31;1f333
42,48,23;1f334
63,95,44;1f335
71,25,26;1f336
87,71,61;1f337
145,99,102;1f338
55,14,14;1f339
156,108,104;1f33a
102,76,20;1f33b
95,97,82;1f33c
99,97,33;1f33d
40,46,20;1f33e
46,57,32;1f33f
68,102,48;1f340
101,21,31;1f341
115,75,60;1f342
73,101,66;1f343
141,77,89;1f344
149,39,48;1f345
52,38,73;1f346
86,62,120;1f347
92,122,73;1f348
77,39,33;1f349
164,100,11;1f34a
159,138,54;1f34b
102,88,55;1f34c
72,66,25;1f34d
130,33,41;1f34e
71,105,49;1f34f
74,92,59;1f350
174,102,76;1f351
74,30,25;1f352
108,33,37;1f353
160,113,85;1f354
102,57,25;1f355
91,56,39;1f356
79,48,34;1f357
109,64,52;1f358
122,123,124;1f359
143,102,109;1f35a
117,105,87;1f35b
149,120,92;1f35c
132,107,89;1f35d
173,140,112;1f35e
150,58,37;1f35f
110,55,43;1f360
73,65,53;1f361
63,58,56;1f362
123,67,71;1f363
154,98,40;1f364
157,148,160;1f365
100,84,50;1f366
119,111,134;1f367
80,87,98;1f368
106,67,40;1f369
147,105,86;1f36a
107,56,58;1f36b
99,40,47;1f36c
122,65,29;1f36d
110,91,70;1f36e
133,91,30;1f36f
156,139,121;1f370
127,83,75;1f371
77,75,53;1f372
78,79,77;1f373
56,62,66;1f374
116,139,110;1f375
63,92,113;1f376
62,49,54;1f377
51,54,55;1f378
87,81,54;1f379
192,154,81;1f37a
160,124,68;1f37b
96,103,105;1f37c
176,185,191;1f37d
55,56,41;1f37e
143,107,95;1f37f
138,29,43;1f380
183,118,83;1f381
163,100,103;1f382
158,90,11;1f383
42,47,19;1f384
180,133,134;1f385-1f3fb
179,130,124;1f385-1f3fc
172,121,118;1f385-1f3fd
163,111,107;1f385-1f3fe
150,100,101;1f385-1f3ff
182,133,108;1f385
103,141,150;1f386
100,140,153;1f387
50,11,13;1f388
97,46,47;1f389
86,51,34;1f38a
47,41,21;1f38b
79,72,75;1f38c
86,104,58;1f38d
98,92,84;1f38e
113,98,109;1f38f
47,58,46;1f390
103,140,136;1f391
137,32,40;1f392
42,41,37;1f393
86,60,50;1f396
88,68,24;1f397
48,55,59;1f399
148,160,169;1f39a
159,166,172;1f39b
85,96,105;1f39e
104,28,39;1f39f
72,65,63;1f3a0
68,67,77;1f3a1
100,92,101;1f3a2
33,45,58;1f3a3
27,38,47;1f3a4
38,42,46;1f3a5
137,182,217;1f3a6
31,48,62;1f3a7
127,94,76;1f3a8
50,47,66;1f3a9
97,69,76;1f3aa
102,108,112;1f3ab
69,90,64;1f3ac
103,109,105;1f3ad
25,28,29;1f3ae
125,109,116;1f3af
100,92,97;1f3b0
63,68,72;1f3b1
121,45,56;1f3b2
66,66,70;1f3b3
122,54,62;1f3b4
42,79,108;1f3b5
31,57,78;1f3b6
86,64,31;1f3b7
61,33,39;1f3b8
120,126,132;1f3b9
79,56,25;1f3ba
70,46,21;1f3bb
51,57,62;1f3bc
82,125,149;1f3bd
117,155,95;1f3be
92,99,113;1f3bf
152,91,13;1f3c0
74,78,82;1f3c1
112,109,121;1f3c2-1f3fb
112,109,121;1f3c2-1f3fc
112,109,121;1f3c2-1f3fd
111,109,120;1f3c2-1f3fe
111,109,120;1f3c2-1f3ff
112,109,120;1f3c2
46,29,30;1f3c3-1f3fb-200d-2640-fe0f
34,38,42;1f3c3-1f3fb-200d-2642-fe0f
50,35,28;1f3c3-1f3fb
54,35,24;1f3c3-1f3fc-200d-2640-fe0f
39,42,37;1f3c3-1f3fc-200d-2642-fe0f
56,38,23;1f3c3-1f3fc
47,24,22;1f3c3-1f3fd-200d-2640-fe0f
33,33,35;1f3c3-1f3fd-200d-2642-fe0f
50,30,21;1f3c3-1f3fd
41,20,17;1f3c3-1f3fe-200d-2640-fe0f
28,29,30;1f3c3-1f3fe-200d-2642-fe0f
44,25,16;1f3c3-1f3fe
32,13,13;1f3c3-1f3ff-200d-2640-fe0f
20,23,26;1f3c3-1f3ff-200d-2642-fe0f
37,20,12;1f3c3-1f3ff
55,34,18;1f3c3-200d-2640-fe0f
40,41,31;1f3c3-200d-2642-fe0f
57,38,17;1f3c3
68,90,98;1f3c4-1f3fb-200d-2640-fe0f
62,85,94;1f3c4-1f3fb-200d-2642-fe0f
63,86,95;1f3c4-1f3fb
74,95,95;1f3c4-1f3fc-200d-2640-fe0f
66,89,92;1f3c4-1f3fc-200d-2642-fe0f
67,89,92;1f3c4-1f3fc
69,87,93;1f3c4-1f3fd-200d-2640-fe0f
63,84,91;1f3c4-1f3fd-200d-2642-fe0f
64,84,92;1f3c4-1f3fd
65,84,90;1f3c4-1f3fe-200d-2640-fe0f
61,82,90;1f3c4-1f3fe-200d-2642-fe0f
61,83,90;1f3c4-1f3fe
59,80,87;1f3c4-1f3ff-200d-2640-fe0f
57,80,88;1f3c4-1f3ff-200d-2642-fe0f
58,80,88;1f3c4-1f3ff
75,94,91;1f3c4-200d-2640-fe0f
67,88,90;1f3c4-200d-2642-fe0f
68,89,90;1f3c4
90,89,71;1f3c5
143,105,40;1f3c6
67,47,34;1f3c7-1f3fb
67,47,33;1f3c7-1f3fc
67,46,33;1f3c7-1f3fd
67,46,33;1f3c7-1f3fe
66,45,32;1f3c7-1f3ff
68,47,33;1f3c7
90,51,43;1f3c8
120,140,155;1f3c9
100,111,133;1f3ca-1f3fb-200d-2640-fe0f
97,123,144;1f3ca-1f3fb-200d-2642-fe0f
101,114,129;1f3ca-1f3fb
99,108,123;1f3ca-1f3fc-200d-2640-fe0f
96,120,133;1f3ca-1f3fc-200d-2642-fe0f
100,111,120;1f3ca-1f3fc
93,100,118;1f3ca-1f3fd-200d-2640-fe0f
88,110,126;1f3ca-1f3fd-200d-2642-fe0f
94,104,115;1f3ca-1f3fd
85,91,107;1f3ca-1f3fe-200d-2640-fe0f
78,98,113;1f3ca-1f3fe-200d-2642-fe0f
86,95,105;1f3ca-1f3fe
74,81,102;1f3ca-1f3ff-200d-2640-fe0f
64,87,106;1f3ca-1f3ff-200d-2642-fe0f
76,86,100;1f3ca-1f3ff
102,110,109;1f3ca-200d-2640-fe0f
99,123,115;1f3ca-200d-2642-fe0f
102,113,107;1f3ca
54,33,34;1f3cb-1f3fb-200d-2640-fe0f
38,43,48;1f3cb-1f3fb-200d-2642-fe0f
58,40,33;1f3cb-1f3fb
63,39,29;1f3cb-1f3fc-200d-2640-fe0f
44,47,43;1f3cb-1f3fc-200d-2642-fe0f
63,44,28;1f3cb-1f3fc
55,28,27;1f3cb-1f3fd-200d-2640-fe0f
38,38,40;1f3cb-1f3fd-200d-2642-fe0f
57,36,26;1f3cb-1f3fd
50,24,22;1f3cb-1f3fe-200d-2640-fe0f
33,34,36;1f3cb-1f3fe-200d-2642-fe0f
52,31,21;1f3cb-1f3fe
41,18,18;1f3cb-1f3ff-200d-2640-fe0f
25,28,32;1f3cb-1f3ff-200d-2642-fe0f
45,25,17;1f3cb-1f3ff
64,38,23;1f3cb-fe0f-200d-2640-fe0f
46,46,37;1f3cb-fe0f-200d-2642-fe0f
64,43,22;1f3cb
51,35,43;1f3cc-1f3fb-200d-2640-fe0f
34,47,47;1f3cc-1f3fb-200d-2642-fe0f
53,43,39;1f3cc-1f3fb
52,36,40;1f3cc-1f3fc-200d-2640-fe0f
33,46,46;1f3cc-1f3fc-200d-2642-fe0f
54,43,37;1f3cc-1f3fc
49,32,38;1f3cc-1f3fd-200d-2640-fe0f
32,45,45;1f3cc-1f3fd-200d-2642-fe0f
52,40,35;1f3cc-1f3fd
46,28,35;1f3cc-1f3fe-200d-2640-fe0f
31,43,43;1f3cc-1f3fe-200d-2642-fe0f
49,37,32;1f3cc-1f3fe
41,25,32;1f3cc-1f3ff-200d-2640-fe0f
29,42,42;1f3cc-1f3ff-200d-2642-fe0f
45,34,30;1f3cc-1f3ff
54,36,35;1f3cc-fe0f-200d-2640-fe0f
34,47,43;1f3cc-fe0f-200d-2642-fe0f
55,44,32;1f3cc
39,50,38;1f3cd
69,59,41;1f3ce
76,48,41;1f3cf
159,164,168;1f3d0
69,32,22;1f3d1
35,26,13;1f3d2
116,39,43;1f3d3
51,60,55;1f3d4
100,97,46;1f3d5
91,68,61;1f3d6
57,17,21;1f3d7
114,106,84;1f3d8
95,121,136;1f3d9
97,71,61;1f3da
118,125,130;1f3db
110,108,59;1f3dc
74,73,47;1f3dd
98,145,143;1f3de
101,103,112;1f3df
112,108,87;1f3e0
126,131,96;1f3e1
144,150,149;1f3e2
126,138,153;1f3e3
144,72,71;1f3e4
126,152,174;1f3e5
129,138,144;1f3e6
95,156,202;1f3e7
168,166,141;1f3e8
181,143,169;1f3e9
119,98,116;1f3ea
160,159,136;1f3eb
147,168,176;1f3ec
117,46,57;1f3ed
143,30,45;1f3ee
106,100,98;1f3ef
99,115,127;1f3f0
114,62,47;1f3f3-fe0f-200d-1f308
130,140,157;1f3f3-fe0f-200d-26a7-fe0f
112,116,120;1f3f3
63,67,70;1f3f4-200d-2620-fe0f
161,112,117;1f3f4-e0067-e0062-e0065-e006e-e0067-e007f
71,113,149;1f3f4-e0067-e0062-e0073-e0063-e0074-e007f
123,105,73;1f3f4-e0067-e0062-e0077-e006c-e0073-e007f
34,38,42;1f3f4
180,116,32;1f3f5
122,102,63;1f3f7
36,46,55;1f3f8
55,36,33;1f3f9
62,38,31;1f3fa
170,153,142;1f3fb
167,144,111;1f3fc
146,117,93;1f3fd
120,86,59;1f3fe
85,57,42;1f3ff
54,51,56;1f400
74,68,71;1f401
95,54,41;1f402
28,32,35;1f403
52,55,58;1f404
85,58,19;1f405
91,69,23;1f406
86,91,97;1f407
19,22,24;1f408-200d-2b1b
107,83,32;1f408
57,87,39;1f409
32,50,21;1f40a
30,67,95;1f40b
123,92,69;1f40c
63,92,44;1f40d
59,33,26;1f40e
116,116,107;1f40f
92,95,96;1f410
137,135,125;1f411
106,62,49;1f412
115,106,105;1f413
95,82,76;1f414
77,48,42;1f415-200d-1f9ba
93,65,54;1f415
116,81,88;1f416
136,75,59;1f417
110,123,131;1f418
92,64,129;1f419
109,116,121;1f41a
47,33,67;1f41b
20,22,25;1f41c
69,68,61;1f41d
81,29,37;1f41e
37,78,109;1f41f
139,106,37;1f420
91,58,46;1f421
30,49,19;1f422
151,131,80;1f423
108,84,30;1f424
129,101,37;1f425
100,26,29;1f426
104,101,93;1f427
73,82,87;1f428
64,71,76;1f429
82,45,34;1f42a
89,48,36;1f42b
33,72,109;1f42c
106,104,111;1f42d
175,152,152;1f42e
162,138,87;1f42f
87,86,92;1f430
165,130,54;1f431
61,92,43;1f432
36,80,114;1f433
121,69,53;1f434
125,82,67;1f435
116,77,65;1f436
188,116,128;1f437
107,141,88;1f438
190,139,85;1f439
81,88,93;1f43a
141,145,149;1f43b-200d-2744-fe0f
150,89,71;1f43b
148,149,150;1f43c
99,68,67;1f43d
24,7,4;1f43e
100,67,41;1f43f
126,130,132;1f440
58,61,64;1f441-200d-1f5e8
74,70,67;1f441
129,113,103;1f442-1f3fb
126,106,82;1f442-1f3fc
110,88,68;1f442-1f3fd
90,64,43;1f442-1f3fe
62,41,30;1f442-1f3ff
134,110,47;1f442
105,93,85;1f443-1f3fb
103,88,67;1f443-1f3fc
90,72,56;1f443-1f3fd
74,53,36;1f443-1f3fe
51,34,25;1f443-1f3ff
109,92,39;1f443
88,41,46;1f444
89,32,38;1f445
100,90,83;1f446-1f3fb
98,85,65;1f446-1f3fc
86,69,55;1f446-1f3fd
71,51,35;1f446-1f3fe
50,33,25;1f446-1f3ff
103,89,37;1f446
100,90,83;1f447-1f3fb
98,85,65;1f447-1f3fc
86,69,55;1f447-1f3fd
71,51,35;1f447-1f3fe
50,33,25;1f447-1f3ff
103,89,37;1f447
100,90,83;1f448-1f3fb
98,85,65;1f448-1f3fc
86,69,55;1f448-1f3fd
71,51,35;1f448-1f3fe
50,33,25;1f448-1f3ff
103,89,37;1f448
100,90,83;1f449-1f3fb
98,85,65;1f449-1f3fc
86,69,55;1f449-1f3fd
71,51,35;1f449-1f3fe
50,33,25;1f449-1f3ff
103,89,37;1f449
136,118,108;1f44a-1f3fb
132,112,85;1f44a-1f3fc
116,92,71;1f44a-1f3fd
94,67,45;1f44a-1f3fe
65,43,32;1f44a-1f3ff
141,115,49;1f44a
141,134,131;1f44b-1f3fb
138,127,108;1f44b-1f3fc
122,107,94;1f44b-1f3fd
102,83,68;1f44b-1f3fe
74,59,54;1f44b-1f3ff
146,132,71;1f44b
95,84,78;1f44c-1f3fb
93,80,61;1f44c-1f3fc
81,65,51;1f44c-1f3fd
67,48,33;1f44c-1f3fe
47,31,23;1f44c-1f3ff
98,83,35;1f44c
142,124,114;1f44d-1f3fb
139,117,90;1f44d-1f3fc
121,97,75;1f44d-1f3fd
99,71,48;1f44d-1f3fe
69,46,34;1f44d-1f3ff
148,121,52;1f44d
142,124,114;1f44e-1f3fb
139,117,90;1f44e-1f3fc
121,97,75;1f44e-1f3fd
99,71,48;1f44e-1f3fe
69,46,34;1f44e-1f3ff
148,121,52;1f44e
168,141,127;1f44f-1f3fb
164,134,101;1f44f-1f3fc
145,111,85;1f44f-1f3fd
121,82,55;1f44f-1f3fe
88,55,40;1f44f-1f3ff
174,137,60;1f44f
99,87,80;1f450-1f3fb
97,82,63;1f450-1f3fc
85,67,53;1f450-1f3fd
69,49,34;1f450-1f3fe
48,32,24;1f450-1f3ff
102,86,36;1f450
160,119,49;1f451
89,75,55;1f452
19,33,43;1f453
135,146,189;1f454
41,95,136;1f455
27,63,91;1f456
44,88,121;1f457
57,102,137;1f458
24,16,35;1f459
83,67,108;1f45a
184,76,92;1f45b
116,84,137;1f45c
85,105,67;1f45d
51,28,22;1f45e
87,42,50;1f45f
58,16,22;1f460
58,27,24;1f461
99,52,39;1f462
42,13,7;1f463
19,57,85;1f464
33,77,111;1f465
114,102,96;1f466-1f3fb
166,143,74;1f466-1f3fc
128,85,64;1f466-1f3fd
98,66,46;1f466-1f3fe
53,34,25;1f466-1f3ff
171,133,52;1f466
106,95,90;1f467-1f3fb
169,145,68;1f467-1f3fc
127,80,60;1f467-1f3fd
97,62,45;1f467-1f3fe
51,31,23;1f467-1f3ff
173,131,50;1f467
94,85,71;1f468-1f3fb-200d-1f33e
133,125,123;1f468-1f3fb-200d-1f373
60,69,71;1f468-1f3fb-200d-1f37c
180,133,134;1f468-1f3fb-200d-1f384
67,64,56;1f468-1f3fb-200d-1f393
87,95,107;1f468-1f3fb-200d-1f3a4
96,88,76;1f468-1f3fb-200d-1f3a8
138,137,113;1f468-1f3fb-200d-1f3eb
66,87,102;1f468-1f3fb-200d-1f3ed
97,100,93;1f468-1f3fb-200d-1f4bb
146,150,153;1f468-1f3fb-200d-1f4bc
79,89,98;1f468-1f3fb-200d-1f527
109,105,110;1f468-1f3fb-200d-1f52c
99,88,81;1f468-1f3fb-200d-1f680
114,69,61;1f468-1f3fb-200d-1f692
82,86,70;1f468-1f3fb-200d-1f91d-200d-1f468-1f3fc
74,74,68;1f468-1f3fb-200d-1f91d-200d-1f468-1f3fd
68,71,65;1f468-1f3fb-200d-1f91d-200d-1f468-1f3fe
59,65,61;1f468-1f3fb-200d-1f91d-200d-1f468-1f3ff
23,30,29;1f468-1f3fb-200d-1f9af
135,96,78;1f468-1f3fb-200d-1f9b0
88,79,75;1f468-1f3fb-200d-1f9b1
113,99,91;1f468-1f3fb-200d-1f9b2
134,124,118;1f468-1f3fb-200d-1f9b3
43,37,40;1f468-1f3fb-200d-1f9bc
37,38,39;1f468-1f3fb-200d-1f9bd
68,72,77;1f468-1f3fb-200d-2695-fe0f
75,68,66;1f468-1f3fb-200d-2696-fe0f
98,93,86;1f468-1f3fb-200d-2708-fe0f
101,93,88;1f468-1f3fb
94,84,65;1f468-1f3fc-200d-1f33e
134,124,116;1f468-1f3fc-200d-1f373
74,80,64;1f468-1f3fc-200d-1f37c
179,130,124;1f468-1f3fc-200d-1f384
73,67,48;1f468-1f3fc-200d-1f393
86,93,101;1f468-1f3fc-200d-1f3a4
107,96,67;1f468-1f3fc-200d-1f3a8
162,156,104;1f468-1f3fc-200d-1f3eb
66,86,97;1f468-1f3fc-200d-1f3ed
119,117,84;1f468-1f3fc-200d-1f4bb
